token_lower,spacy_form,spacy_pos,spacy_lemma
alloa,Alloa,PROPN,Alloa
allobroges,Allobroges,PROPN,Allobroges
allohé,Allohé,PROPN,Allohé
allondale,Allondale,PROPN,Allondale
allongez,Allongez,PROPN,Allongez
allori,Allori,PROPN,Allori
allos,Allos,PROPN,Allos
allouma,Allouma,PROPN,Allouma
allumez,Allumez,PROPN,Allumez
allyre,Allyre,PROPN,Allyre
allys,Allys,PROPN,Allys
allégro,Allégro,PROPN,Allégro
allô,Allô,PROPN,Allô
almaceda,Almaceda,PROPN,Almaceda
almack,Almack,PROPN,Almack
almadjik,Almadjik,PROPN,Almadjik
almado,Almado,PROPN,Almado
almagrida,Almagrida,PROPN,Almagrida
almanach,Almanach,PROPN,Almanach
almanza,Almanza,PROPN,Almanza
almaran,Almaran,PROPN,Almaran
almarès,Almarès,PROPN,Almarès
almaviva,Almaviva,PROPN,Almaviva
almieri,Almieri,PROPN,Almieri
almâni,Almâni,PROPN,Almâni
almée,Almée,PROPN,Almée
alméric,Alméric,PROPN,Alméric
alnuzzi,Alnuzzi,PROPN,Alnuzzi
alofe,Alofe,PROPN,Alofe
alonsa,Alonsa,PROPN,Alonsa
alonso,Alonso,PROPN,Alonso
alonzo,Alonzo,PROPN,Alonzo
alorsse,Alorsse,PROPN,Alorsse
alost,Alost,PROPN,Alost
aloys,Aloys,PROPN,Aloys
aloyse,Aloyse,PROPN,Aloyse
alpes,Alpes,PROPN,Alpes
alpha,Alpha,PROPN,Alpha
alphand,Alphand,PROPN,Alphand
alphonse,Alphonse,PROPN,Alphonse
alphonsine,Alphonsine,PROPN,Alphonsine
alphy,Alphy,PROPN,Alphy
alphée,Alphée,PROPN,Alphée
alpilles,Alpilles,PROPN,Alpilles
alpin,Alpin,PROPN,Alpin
alpina,Alpina,PROPN,Alpina
alpine,Alpine,PROPN,Alpine
alpines,Alpines,PROPN,Alpines
alpiniste,Alpiniste,PROPN,Alpiniste
alric,Alric,PROPN,Alric
als,Als,PROPN,Als
alsace,Alsace,PROPN,Alsace
alsacien,Alsacien,PROPN,Alsacien
alsaciennes,Alsaciennes,PROPN,Alsaciennes
alsheim,Alsheim,PROPN,Alsheim
alshem,Alshem,PROPN,Alshem
alsidorn,Alsidorn,PROPN,Alsidorn
alstreim,Alstreim,PROPN,Alstreim
alt,Alt,PROPN,Alt
alta,Alta,PROPN,Alta
altamira,Altamira,PROPN,Altamira
altamonte,Altamonte,PROPN,Altamonte
altamura,Altamura,PROPN,Altamura
altamurais,Altamurais,PROPN,Altamurais
altanéro,Altanéro,PROPN,Altanéro
altara,Altara,PROPN,Altara
altaverde,Altaverde,PROPN,Altaverde
altaï,Altaï,PROPN,Altaï
altaïr,Altaïr,PROPN,Altaïr
altdorf,Altdorf,PROPN,Altdorf
alten,Alten,PROPN,Alten
altenberg,Altenberg,PROPN,Altenberg
altenbourg,Altenbourg,PROPN,Altenbourg
altenheim,Altenheim,PROPN,Altenheim
altenheimer,Altenheimer,PROPN,Altenheimer
altesse,Altesse,PROPN,Altesse
althor,Althor,PROPN,Althor
althorneyshare,Althorneyshare,PROPN,Althorneyshare
althotas,Althotas,PROPN,Althotas
altidor,Altidor,PROPN,Altidor
altieri,Altieri,PROPN,Altieri
altkirch,Altkirch,PROPN,Altkirch
altona,Altona,PROPN,Altona
altorf,Altorf,PROPN,Altorf
altro,Altro,PROPN,Altro
alvar,Alvar,PROPN,Alvar
alvarado,Alvarado,PROPN,Alvarado
alvard,Alvard,PROPN,Alvard
alvaredo,Alvaredo,PROPN,Alvaredo
alvarez,Alvarez,PROPN,Alvarez
alvaro,Alvaro,PROPN,Alvaro
alvarès,Alvarès,PROPN,Alvarès
alvi,Alvi,PROPN,Alvi
alviella,Alviella,PROPN,Alviella
alvimar,Alvimar,PROPN,Alvimar
alviradès,Alviradès,PROPN,Alviradès
alvise,Alvise,PROPN,Alvise
alwine,Alwine,PROPN,Alwine
alwyll,Alwyll,PROPN,Alwyll
alwyn,Alwyn,PROPN,Alwyn
alyscamps,Alyscamps,PROPN,Alyscamps
alzar,Alzar,PROPN,Alzar
alzire,Alzire,PROPN,Alzire
alécaki,Alécaki,PROPN,Alécaki
aléna,Aléna,PROPN,Aléna
aléoutiennes,Aléoutiennes,PROPN,Aléoutiennes
aléria,Aléria,PROPN,Aléria
alésia,Alésia,PROPN,Alésia
ama,Ama,PROPN,Ama
amabel,Amabel,PROPN,Amabel
amable,Amable,PROPN,Amable
amadieu,Amadieu,PROPN,Amadieu
amadis,Amadis,PROPN,Amadis
amalberge,Amalberge,PROPN,Amalberge
amalfi,Amalfi,PROPN,Amalfi
amalia,Amalia,PROPN,Amalia
amalthée,Amalthée,PROPN,Amalthée
amalti,Amalti,PROPN,Amalti
amalécites,Amalécites,PROPN,Amalécites
amalékites,Amalékites,PROPN,Amalékites
amama,Amama,PROPN,Amama
amanani,Amanani,PROPN,Amanani
amand,Amand,PROPN,Amand
amanda,Amanda,PROPN,Amanda
amandias,Amandias,PROPN,Amandias
amandine,Amandine,PROPN,Amandine
amar,Amar,PROPN,Amar
amarante,Amarante,PROPN,Amarante
amaranthe,Amaranthe,PROPN,Amaranthe
amarin,Amarin,PROPN,Amarin
amarou,Amarou,PROPN,Amarou
amarrez,Amarrez,PROPN,Amarrez
amaryllis,Amaryllis,PROPN,Amaryllis
amati,Amati,PROPN,Amati
amauri,Amauri,PROPN,Amauri
amaya,Amaya,PROPN,Amaya
amaël,Amaël,PROPN,Amaël
amber,Amber,PROPN,Amber
ambermesnil,Ambermesnil,PROPN,Ambermesnil
ambert,Ambert,PROPN,Ambert
ambigu,Ambigu,PROPN,Ambigu
ambleuse,Ambleuse,PROPN,Ambleuse
ambleçay,Ambleçay,PROPN,Ambleçay
